"","intercept","prevalence","prev_target","c","distn"
"160",-2.51774016704669,0.5484256,0.8,3,"gamma1_5"
"161",1.52627890056971,0.8942763,0.9,1,"binary_080"
"162",0.999174260029101,0.8829224,0.9,1.5,"binary_080"
"163",0.625187565841786,0.8708686,0.9,2,"binary_080"
"164",0.335100949133313,0.8592812,0.9,2.5,"binary_080"
"165",0.0980829253011721,0.8487388,0.9,3,"binary_080"
"166",1.44518587894808,0.885059,0.9,1,"unif_n13"
"167",0.836988216785835,0.8448765,0.9,1.5,"unif_n13"
"168",0.405465108108164,0.804427,0.9,2,"unif_n13"
"169",0.0707497811368494,0.7705913,0.9,2.5,"unif_n13"
"170",-0.202732554054083,0.7434983,0.9,3,"unif_n13"
"171",1.85065098705625,0.8879828,0.9,1,"norm_01"
"172",1.64791843300216,0.8569009,0.9,1.5,"norm_01"
"173",1.50407739677627,0.8260815,0.9,2,"norm_01"
"174",1.39250562111917,0.8000163,0.9,2.5,"norm_01"
"175",1.30134484272219,0.7784603,0.9,3,"norm_01"
"176",1.03972077083992,0.8722626,0.9,1,"gamma1_5"
"177",0.0260580005695066,0.8035503,0.9,1.5,"gamma1_5"
"178",-0.693147180559946,0.7391247,0.9,2,"gamma1_5"
"179",-1.25100605884547,0.6873668,0.9,2.5,"gamma1_5"
"180",-1.70680995083036,0.6476583,0.9,3,"gamma1_5"
