"","intercept","marg.expectation","time","marg_target","c","distn"
"elapsed325",-0.399253848108886,0.56982931,17.6710000000021,0.6,2.5,"norm_01"
"elapsed425",-0.490414626505863,0.56552173,17.846000000005,0.6,3,"norm_01"
"elapsed75",-0.752038698388137,0.57837526,23.3529999999955,0.6,1,"gamma1_5"
"elapsed135",-1.76570146865855,0.538262,22.9390000000058,0.6,1.5,"gamma1_5"
"elapsed235",-2.484906649788,0.51166645,22.7280000000028,0.6,2,"gamma1_5"
"elapsed335",-3.04276552807353,0.49398606,22.8809999999939,0.6,2.5,"gamma1_5"
"elapsed435",-3.49856942005841,0.48156928,22.8549999999959,0.6,3,"gamma1_5"
"elapsed20",0.176352183620699,0.69412449,15.6549999999988,0.7,1,"binary_080"
"elapsed116",-0.350752456919915,0.68490716,15.6089999999967,0.7,1.5,"binary_080"
"elapsed29",-0.72473915110723,0.6768691,15.6299999999974,0.7,2,"binary_080"
"elapsed39",-1.0148257678157,0.67022258,15.5239999999976,0.7,2.5,"binary_080"
"elapsed49",-1.25184379164784,0.66467722,15.5109999999986,0.7,3,"binary_080"
"elapsed56",0.0952591619990664,0.68700289,14.3690000000061,0.7,1,"unif_n13"
"elapsed117",-0.51293850016318,0.66288129,14.413999999997,0.7,1.5,"unif_n13"
"elapsed216",-0.944461608840852,0.64449189,14.2410000000018,0.7,2,"unif_n13"
"elapsed316",-1.27917693581217,0.6312369,14.2200000000012,0.7,2.5,"unif_n13"
"elapsed416",-1.5526592710031,0.62129779,14.1739999999991,0.7,3,"unif_n13"
"elapsed66",0.500724270107231,0.68903204,17.6709999999948,0.7,1,"norm_01"
"elapsed126",0.297991716053149,0.66957862,17.6460000000006,0.7,1.5,"norm_01"
"elapsed226",0.154150679827258,0.65450398,17.5370000000039,0.7,2,"norm_01"
"elapsed326",0.0425789041701533,0.6433821,17.4749999999985,0.7,2.5,"norm_01"
"elapsed426",-0.048581874226824,0.63484139,17.4349999999977,0.7,3,"norm_01"
"elapsed76",-0.310205946109098,0.67091366,22.9379999999946,0.7,1,"gamma1_5"
"elapsed136",-1.32386871637951,0.61854421,22.8020000000033,0.7,1.5,"gamma1_5"
"elapsed236",-2.04307389750896,0.58251805,22.7189999999973,0.7,2,"gamma1_5"
"elapsed336",-2.60093277579449,0.55790688,24.1840000000011,0.7,2.5,"gamma1_5"
"elapsed436",-3.05673666777937,0.54019803,23.8340000000026,0.7,3,"gamma1_5"
"elapsed30",0.715348684353386,0.79310989,16.0760000000009,0.8,1,"binary_080"
"elapsed118",0.188244043812773,0.78170142,16.1300000000047,0.8,1.5,"binary_080"
