"","intercept","marginal.expectation","iterations","a","b","time","marg_target","c","distn"
"121",0.2056884765625,0.70010926,15,0.205078125,0.206298828125,0.671000000002095,0.7,1,"binary_080"
"122",-0.2728271484375,0.70008107,15,-0.2734375,-0.272216796875,0.724999999991269,0.7,1.5,"binary_080"
"123",-0.6005859375,0.70008815,12,-0.60546875,-0.595703125,0.514000000010128,0.7,2,"binary_080"
"124",-0.848388671875,0.70023813,14,-0.849609375,-0.84716796875,0.588999999992666,0.7,2.5,"binary_080"
"125",-1.048583984375,0.70019732,14,-1.0498046875,-1.04736328125,0.661000000007334,0.7,3,"binary_080"
"126",0.1611328125,0.70006094,12,0.15625,0.166015625,0.611000000004424,0.7,1,"unif_n13"
"127",-0.302734375,0.69982151,11,-0.3125,-0.29296875,0.466000000000349,0.7,1.5,"unif_n13"
"128",-0.59326171875,0.69991555,13,-0.595703125,-0.5908203125,0.523000000001048,0.7,2,"unif_n13"
"129",-0.804443359375,0.69979974,14,-0.8056640625,-0.80322265625,0.61699999999837,0.7,2.5,"unif_n13"
"130",-0.96923828125,0.69973467,13,-0.9716796875,-0.966796875,0.543000000005122,0.7,3,"unif_n13"
"131",0.556640625,0.70025243,11,0.546875,0.56640625,0.546000000002095,0.7,1,"norm_01"
"132",0.467529296875,0.70039202,14,0.46630859375,0.46875,0.643000000010943,0.7,1.5,"norm_01"
"133",0.4296875,0.7004812,9,0.390625,0.46875,0.426999999996042,0.7,2,"norm_01"
"134",0.41015625,0.70049758,10,0.390625,0.4296875,0.452999999994063,0.7,2.5,"norm_01"
"135",0.399169921875,0.70056532,14,0.39794921875,0.400390625,0.682000000000698,0.7,3,"norm_01"
"136",-0.159912109375,0.70020738,14,-0.1611328125,-0.15869140625,0.660999999992782,0.7,1,"gamma1_5"
"137",-0.8544921875,0.70032618,12,-0.859375,-0.849609375,0.570000000006985,0.7,1.5,"gamma1_5"
"138",-1.295166015625,0.70044182,14,-1.29638671875,-1.2939453125,0.662000000011176,0.7,2,"gamma1_5"
"139",-1.62109375,0.70042551,10,-1.640625,-1.6015625,0.514999999999418,0.7,2.5,"gamma1_5"
"140",-1.8798828125,0.7004016,12,-1.884765625,-1.875,0.605000000010477,0.7,3,"gamma1_5"
"141",0.75927734375,0.80002225,13,0.7568359375,0.76171875,0.591999999989639,0.8,1,"binary_080"
"142",0.3076171875,0.80011324,12,0.302734375,0.3125,0.538999999989755,0.8,1.5,"binary_080"
"143",0.006103515625,0.80008618,14,0.0048828125,0.00732421875,0.596000000005006,0.8,2,"binary_080"
"144",-0.218505859375,0.80002178,14,-0.2197265625,-0.21728515625,0.607999999992899,0.8,2.5,"binary_080"
"145",-0.396728515625,0.80007217,14,-0.39794921875,-0.3955078125,0.597999999998137,0.8,3,"binary_080"
"146",0.732421875,0.79991424,11,0.72265625,0.7421875,0.463000000003376,0.8,1,"unif_n13"
"147",0.345458984375,0.79988286,14,0.34423828125,0.3466796875,0.579000000012456,0.8,1.5,"unif_n13"
"148",0.128173828125,0.79984425,14,0.126953125,0.12939453125,0.582999999998719,0.8,2,"unif_n13"
"149",-0.01708984375,0.79981666,13,-0.01953125,-0.0146484375,0.552999999999884,0.8,2.5,"unif_n13"
"150",-0.12451171875,0.79974598,13,-0.126953125,-0.1220703125,0.546000000002095,0.8,3,"unif_n13"
"151",1.123046875,0.80017102,11,1.11328125,1.1328125,0.505999999993946,0.8,1,"norm_01"
"152",1.09619140625,0.80040429,13,1.09375,1.0986328125,0.586999999999534,0.8,1.5,"norm_01"
"153",1.116943359375,0.80038543,14,1.11572265625,1.1181640625,0.623000000006869,0.8,2,"norm_01"
"154",1.14990234375,0.80039698,13,1.1474609375,1.15234375,0.580999999991036,0.8,2.5,"norm_01"
"155",1.185302734375,0.80041741,14,1.18408203125,1.1865234375,0.634999999994761,0.8,3,"norm_01"
"156",0.423583984375,0.80009668,14,0.42236328125,0.4248046875,0.679000000003725,0.8,1,"gamma1_5"
"157",-0.19775390625,0.80009817,13,-0.2001953125,-0.1953125,0.644000000000233,0.8,1.5,"gamma1_5"
"158",-0.576171875,0.80034045,11,-0.5859375,-0.56640625,0.563999999998487,0.8,2,"gamma1_5"
"159",-0.849609375,0.80034007,11,-0.859375,-0.83984375,0.563999999998487,0.8,2.5,"gamma1_5"
"160",-1.06201171875,0.8003976,13,-1.064453125,-1.0595703125,0.642999999996391,0.8,3,"gamma1_5"
"161",1.58447265625,0.89997725,13,1.58203125,1.5869140625,0.56600000000617,0.9,1,"binary_080"
"162",1.15966796875,0.89997057,13,1.1572265625,1.162109375,0.967000000004191,0.9,1.5,"binary_080"
"163",0.888671875,0.90004846,11,0.87890625,0.8984375,0.485999999989872,0.9,2,"binary_080"
"164",0.69091796875,0.89992205,13,0.6884765625,0.693359375,0.555999999996857,0.9,2.5,"binary_080"
"165",0.53955078125,0.89996196,13,0.537109375,0.5419921875,0.56699999999546,0.9,3,"binary_080"
"166",1.5771484375,0.89999077,12,1.572265625,1.58203125,0.519000000000233,0.9,1,"unif_n13"
"167",1.26953125,0.89999566,10,1.25,1.2890625,0.426000000006752,0.9,1.5,"unif_n13"
