"","intercept","prevalence","prev_target","c","distn"
"155",1.180419921875,0.799966240981855,0.8,3,"norm_01"
"156",0.42236328125,0.799932129222365,0.8,1,"gamma1_5"
"157",-0.198974609375,0.800001340660618,0.8,1.5,"gamma1_5"
"158",-0.57861328125,0.8000234306913,0.8,2,"gamma1_5"
"159",-0.85205078125,0.799992697688847,0.8,2.5,"gamma1_5"
"160",-1.064453125,0.800084962970375,0.8,3,"gamma1_5"
"161",1.58447265625,0.899986832320488,0.9,1,"binary_080"
"162",1.15966796875,0.899975694711156,0.9,1.5,"binary_080"
"163",0.888671875,0.900070186759622,0.9,2,"binary_080"
"164",0.69091796875,0.899945213233596,0.9,2.5,"binary_080"
"165",0.53955078125,0.899982161390745,0.9,3,"binary_080"
"166",1.5771484375,0.899990012787237,0.9,1,"unif_n13"
"167",1.26953125,0.900026044016796,0.9,1.5,"unif_n13"
"168",1.13037109375,0.899944560406996,0.9,2,"unif_n13"
"169",1.05712890625,0.899957904655466,0.9,2.5,"unif_n13"
"170",1.015625,0.900061053722094,0.9,3,"unif_n13"
"171",1.96044921875,0.899903682932111,0.9,1,"norm_01"
"172",2.001953125,0.900009861497145,0.9,1.5,"norm_01"
"173",2.0947265625,0.900023700855308,0.9,2,"norm_01"
"174",2.1923828125,0.899956242333457,0.9,2.5,"norm_01"
"175",2.28759765625,0.900036499724157,0.9,3,"norm_01"
"176",1.27685546875,0.900084933510283,0.9,1,"gamma1_5"
"177",0.72265625,0.899981846866157,0.9,1.5,"gamma1_5"
"178",0.40283203125,0.90000202460098,0.9,2,"gamma1_5"
"179",0.1806640625,0.899926237150204,0.9,2.5,"gamma1_5"
"180",0.0146484375,0.900014411418835,0.9,3,"gamma1_5"
